Type,Origin,Nested,Category,label,as,availability,BQ Field,value type,inject to SELECT,Inject to WHERE,GROUP BY,Default paramaters,Additional Parameters,Count,Distinct,SUM,AVG
Metric,Calculated,FALSE,Video,Video complete,Video_complete,paid,NA,INT,COUNTIF(event_name = 'video_complete'),NA,FALSE,"language, page_location, page_referrer, page_title, screen_resolution","video_current_time, video_duration, video_percent, video_provider, video_title, video_url, visible",NA,NA,NA,NA
Metric,Calculated,FALSE,Video,Video engagement,Video_engagement,paid,NA,INT,COUNTIF(event_name = 'video_engagement'),NA,FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,NA,NA,NA,NA
Metric,Calculated,FALSE,Video,Video progress,Video_progress,paid,NA,INT,COUNTIF(event_name = 'video_progress'),NA,FALSE,"language, page_location, page_referrer, page_title, screen_resolution","video_current_time, video_duration, video_percent, video_provider, video_title, video_url, visible",NA,NA,NA,NA
Metric,Calculated,FALSE,Video,Video start,Video_start,paid,NA,INT,COUNTIF(event_name = 'video_start'),NA,FALSE,"language, page_location, page_referrer, page_title, screen_resolution","video_current_time, video_duration, video_percent, video_provider, video_title, video_url, visible",NA,NA,NA,NA
Dimension,Built-in,FALSE,User,User ID,User_ID,free,user_id,String,user_id,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
Dimension,Built-in,FALSE,User,User pseudo ID,User_pseudo_ID,free,user_pseudo_id,String,user_pseudo_id,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
Dimension,Built-in,FALSE,Stream and platform,Platform,Platform,free,platform,String,platform,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Stream and platform,Stream ID,Stream_ID,free,stream_id,String,stream_id,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Metric,Calculated,FALSE,Search,View search results,View_search_results,paid,NA,INT,COUNTIF(event_name = 'view_search_results'),NA,FALSE,"language, page_location, page_referrer, page_title, screen_resolution",search_term,NA,NA,NA,NA
Metric,Calculated,FALSE,App,Notification dismiss,Notification_dismiss,paid,NA,INT,COUNTIF(event_name = 'notification_dismiss'),NA,FALSE,"language, page_location, page_referrer, page_title, screen_resolution","message_name, message_time, message_device_time, message_id, topic, label, message_channel",NA,NA,NA,NA
Metric,Calculated,FALSE,App,Notification foreground,Notification_foreground,paid,NA,INT,COUNTIF(event_name = 'notification_foreground'),NA,FALSE,"language, page_location, page_referrer, page_title, screen_resolution","message_name, message_time, message_device_time, message_id, topic, label, message_channel, message_type",NA,NA,NA,NA
Metric,Calculated,FALSE,App,Notification open,Notification_open,paid,NA,INT,COUNTIF(event_name = 'notification_open'),NA,FALSE,"language, page_location, page_referrer, page_title, screen_resolution","message_name, message_time, message_device_time, message_id, topic, label, message_channel",NA,NA,NA,NA
Metric,Calculated,FALSE,App,Notification receive,Notification_receive,paid,NA,INT,COUNTIF(event_name = 'notification_receive'),NA,FALSE,"language, page_location, page_referrer, page_title, screen_resolution","message_name, message_time, message_device_time, message_id, topic, label, message_channel, message_type",NA,NA,NA,NA
Metric,Calculated,FALSE,App,Notification send,Notification_send,paid,NA,INT,COUNTIF(event_name = 'notification_send'),NA,FALSE,"language, page_location, page_referrer, page_title, screen_resolution","message_name, message_time, message_device_time, message_id, topic, label, message_channel",NA,NA,NA,NA
Dimension,Built-in,FALSE,Geo,City,City,free,geo.city,String,geo.city,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Geo,Continent,Continent,free,geo.continent,String,geo.continent,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Geo,Country,Country,free,geo.country,String,geo.country,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Geo,Metro,Metro,free,geo.metro,String,geo.metro,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Geo,Region,Region,free,geo.region,String,geo.region,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Geo,Sub-Continent,Sub_continent,free,geo.sub_continent,String,geo.sub_continent,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Metric,Calculated,FALSE,Games,Level end,Level_end,paid,NA,INT,COUNTIF(event_name = 'level_end'),NA,FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,NA,NA,NA,NA
Metric,Calculated,FALSE,Games,Level start,Level_start,paid,NA,INT,COUNTIF(event_name = 'level_start'),NA,FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,NA,NA,NA,NA
Metric,Calculated,FALSE,Games,Level up,Level_up,paid,NA,INT,COUNTIF(event_name = 'level_up'),NA,FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,NA,NA,NA,NA
Metric,Calculated,FALSE,Games,Logins,Logins,paid,NA,INT,COUNTIF(event_name = 'login'),NA,FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,NA,NA,NA,NA
Metric,Calculated,FALSE,App,OS update,OS_update,paid,NA,INT,COUNTIF(event_name = 'os_update'),NA,FALSE,"language, page_location, page_referrer, page_title, screen_resolution",previous_os_version,NA,NA,NA,NA
Metric,Calculated,FALSE,Content,Pageviews,Pageviews,free,NA,INT,COUNTIF(event_name = 'page_view'),NA,FALSE,"language, page_location, page_referrer, page_title, screen_resolution",engagement_time_msec,NA,NA,NA,NA
Metric,Calculated,FALSE,Games,Post score,Post_score,paid,NA,INT,COUNTIF(event_name = 'post_score'),NA,FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,NA,NA,NA,NA
Metric,Calculated,FALSE,App,Screenviews,Screenviews,free,NA,INT,COUNTIF(event_name = 'screen_view'),NA,FALSE,"language, page_location, page_referrer, page_title, screen_resolution","firebase_screen, firebase_screen_class, firebase_screen_id, firebase_previous_screen, firebase_previous_class, firebase_previous_id, engagement_time_msec",NA,NA,NA,NA
Metric,Calculated,FALSE,General,Scrolls,Scrolls,free,NA,INT,COUNTIF(event_name = 'scroll'),NA,FALSE,"language, page_location, page_referrer, page_title, screen_resolution",engagement_time_msec,NA,NA,NA,NA
Metric,Calculated,FALSE,General,Searches,Searches,paid,NA,INT,COUNTIF(event_name = 'search'),NA,FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,NA,NA,NA,NA
Metric,Calculated,FALSE,Games,Select content,Select_content,paid,NA,INT,COUNTIF(event_name = 'select_content'),NA,FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,NA,NA,NA,NA
Dimension,Calculated,FALSE,General,Session number,Session_number,paid,NA,INT,(SELECT value.int_value FROM UNNEST(event_params) WHERE key = 'ga_session_number'),NA,FALSE,NA,NA,NA,NA,NA,NA
